timestamp,temperature_c,humidity_pct,co2_ppm,yield_kg,source_file
2025-01-01,31.74,82.53,891.34,18.12,polyhouse_sensor.csv
2025-01-02,29.52,88.1,845.66,17.85,polyhouse_sensor.csv
2025-01-03,32.15,90.44,902.78,18.91,polyhouse_sensor.csv
2025-01-04,28.96,84.72,821.5,17.43,polyhouse_sensor.csv
2025-01-05,30.28,86.35,876.91,18.25,polyhouse_sensor.csv
2025-01-06,32.87,91.26,934.55,19.03,polyhouse_sensor.csv
2025-01-07,29.15,83.74,852.18,17.69,polyhouse_sensor.csv
2025-01-08,30.92,87.45,889.41,18.42,polyhouse_sensor.csv
2025-01-09,28.74,79.82,808.63,17.34,polyhouse_sensor.csv
2025-01-10,33.1,92.14,961.27,19.56,polyhouse_sensor.csv
2025-01-11,31.26,85.38,874.92,18.64,polyhouse_sensor.csv
2025-01-12,27.89,81.44,792.36,16.98,polyhouse_sensor.csv
2025-01-13,29.66,88.67,843.75,17.82,polyhouse_sensor.csv
2025-01-14,34.21,94.38,1002.54,20.14,polyhouse_sensor.csv
2025-01-15,30.05,86.93,882.46,18.53,polyhouse_sensor.csv
2025-01-16,28.44,84.11,821.73,17.29,polyhouse_sensor.csv
2025-01-17,32.31,89.54,918.64,19.07,polyhouse_sensor.csv
2025-01-18,29.84,82.88,847.92,17.76,polyhouse_sensor.csv
2025-01-19,30.71,87.95,896.51,18.44,polyhouse_sensor.csv
2025-01-20,27.63,80.17,769.88,16.91,polyhouse_sensor.csv
2025-01-21,35.12,95.4,1021.36,20.82,polyhouse_sensor.csv
2025-01-22,31.58,88.42,911.82,18.95,polyhouse_sensor.csv
2025-01-23,29.11,84.29,835.77,17.63,polyhouse_sensor.csv
2025-01-24,30.48,86.71,873.25,18.2,polyhouse_sensor.csv
2025-01-25,26.92,78.36,748.9,16.75,polyhouse_sensor.csv
2025-01-26,33.36,92.82,956.13,19.89,polyhouse_sensor.csv
2025-01-27,30.97,85.24,867.59,18.37,polyhouse_sensor.csv
2025-01-28,28.57,81.95,806.18,17.16,polyhouse_sensor.csv
2025-01-29,31.84,90.16,923.48,19.11,polyhouse_sensor.csv
2025-01-30,29.43,83.57,851.26,17.88,polyhouse_sensor.csv
2025-01-31,30.86,86.42,888.64,18.54,polyhouse_sensor.csv
2025-02-01,27.75,79.38,781.53,16.88,polyhouse_sensor.csv
2025-02-02,32.48,91.27,948.16,19.37,polyhouse_sensor.csv
2025-02-03,29.62,84.65,862.29,17.95,polyhouse_sensor.csv
2025-02-04,31.34,88.93,905.47,18.72,polyhouse_sensor.csv
2025-02-05,28.95,81.14,824.68,17.31,polyhouse_sensor.csv
2025-02-06,33.52,94.81,987.54,20.26,polyhouse_sensor.csv
2025-02-07,30.18,85.26,873.82,18.11,polyhouse_sensor.csv
2025-02-08,26.89,77.92,742.38,16.57,polyhouse_sensor.csv
2025-02-09,31.76,89.72,928.66,19.08,polyhouse_sensor.csv
2025-02-10,29.27,83.34,845.75,17.84,polyhouse_sensor.csv
2025-02-11,30.62,87.51,891.43,18.36,polyhouse_sensor.csv
2025-02-12,28.16,80.42,796.84,17.09,polyhouse_sensor.csv
2025-02-13,34.07,93.85,1004.28,20.41,polyhouse_sensor.csv
2025-02-14,31.29,86.91,879.65,18.69,polyhouse_sensor.csv
2025-02-15,27.58,78.84,756.29,16.73,polyhouse_sensor.csv
2025-02-16,32.66,90.63,944.52,19.54,polyhouse_sensor.csv
2025-02-17,30.01,84.37,858.94,18.02,polyhouse_sensor.csv
2025-02-18,29.54,88.26,899.16,18.43,polyhouse_sensor.csv
2025-02-19,26.72,76.88,731.65,16.42,polyhouse_sensor.csv
