temperature,humidity,co2,yield
28.25,70.8,658.0,12.15
28.5,71.6,666.0,12.3
28.75,72.4,674.0,12.45
29.0,73.2,682.0,12.6
29.25,74.0,690.0,12.75
,74.8,698.0,12.9
29.75,75.6,706.0,13.05
30.0,76.4,714.0,13.2
30.25,77.2,722.0,13.35
30.5,78.0,730.0,13.5
30.75,,738.0,13.65
31.0,79.6,746.0,13.8
31.25,80.4,754.0,13.95
31.5,81.2,762.0,14.1
31.75,82.0,770.0,14.25
32.0,82.8,,14.4
32.25,83.6,786.0,14.55
32.5,84.4,794.0,14.7
32.75,85.2,802.0,14.85
33.0,86.0,810.0,15.0
33.25,86.8,818.0,
33.5,87.6,826.0,15.3
33.75,88.4,834.0,15.45
34.0,89.2,842.0,15.6
34.25,90.0,850.0,15.75
34.5,90.8,858.0,15.9
34.75,91.6,866.0,16.05
35.0,92.4,874.0,16.2
35.25,93.2,882.0,16.35
35.5,94.0,890.0,16.5
35.75,94.8,898.0,16.65
36.0,95.6,906.0,16.8
36.25,96.4,914.0,16.95
36.5,97.2,922.0,17.1
36.75,98.0,930.0,17.25
37.0,98.8,938.0,17.4
37.25,99.6,946.0,17.55
37.5,100.4,954.0,17.7
37.75,101.2,962.0,17.85
38.0,102.0,970.0,18.0
38.25,102.8,978.0,18.15
38.5,103.6,986.0,18.3
38.75,104.4,994.0,18.45
39.0,105.2,1002.0,18.6
39.25,106.0,1010.0,18.75
39.5,106.8,1018.0,18.9
39.75,107.6,1026.0,19.05
40.0,108.4,1034.0,19.2
40.25,109.2,1042.0,19.35
40.5,110.0,1050.0,19.5
40.75,110.8,1058.0,19.65
41.0,111.6,1066.0,19.8
41.25,112.4,1074.0,19.95
41.5,113.2,1082.0,20.1
41.75,114.0,1090.0,20.25
42.0,114.8,1098.0,20.4
42.25,115.6,1106.0,20.55
42.5,116.4,1114.0,20.7
42.75,117.2,1122.0,20.85
43.0,118.0,1130.0,21.0
